No,Name,Team,IP,G,GS,CG,SHO,W,L,SV,SVO,BF,H,R,ER,HR,HBP,BB,IBB,SO,SacF,BK,PC,WHIP,WP,OBA,ERA,#P,BS,SV%,K-L,LOB,PIK,CS,SB,SB%,BAA,P/IP,P/BF,<3%,LOO,1ST2OUT,123INN,<13,FIP,S%,FPS%,FPSO%,FPSW%,FPSH%,BB/INN,0BBINN,BBS,LOBB,LOBBS,SM%,K/BF,K/BB,WEAK%,HHB%,GO/AO,LD%,FB%,GB%,BABIP,BA/RISP
20,Abel Martinez,Chill,7.667,5,0,0,0,0,0,0,0,19,13,11,10,0,0,5,0,4,1,0,53,2.35,0,1,11.74,78,0,0,0,6,0,0,3,100,0.417,19.5,3,65.38,2,0,0,1,3.48,66.67,61.54,56.25,6.25,37.5,0.5,2,2,1,1,15.38,0.077,1,68.18,31.82,0.667,31.82,40.91,27.27,0.455,0.4
1,Aidan Arriaga,Blue Sox,1,1,0,0,0,0,0,0,0,5,1,1,1,0,0,1,0,1,0,0,24,2,0,0.25,9,24,0,0,1,1,0,0,3,100,0.25,24,4.8,20,0,0,0,0,3.76,45.83,40,50,50,0,1,0,0,0,0,4.17,0.2,1,100,0,0,0,66.67,33.33,0.333,0
6,Aidan Salazar,Bootleggers,6.333,4,0,0,0,1,1,0,0,29,11,7,2,0,1,3,0,4,0,0,92,2.26,2,0.44,2.9,92,0,0,1,6,0,1,2,66.67,0.375,19.7,3.172,51.72,2,0,0,1,4.115,58.7,68.97,50,10,35,0.643,3,1,0,0,8.7,0.103,1,72.73,27.27,0.8,18.18,31.82,47.62,0.429,0.308
24,Alec Correa,Green Dragons,0.333,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,11,3,0,0,0,11,0,0,0,0,0,0,0,0,0,33,5.5,0,0,0,0,0,10.97,36.36,50,0,100,0,3,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0
14,Alejandro Espinoza,Bombers,32.667,8,5,0,0,3,2,0,0,91,29,19,13,0,5,17,0,28,0,1,345,1.41,5,0.42,3.58,360,0,0,5,20,0,3,6,66.67,0.222,16.4,3.711,42.27,17,11,5,7,3.238,58.33,58.76,61.4,12.28,19.3,0.545,12,2,1,1,13.33,0.206,1.667,73.77,26.23,2,18.03,18.03,63.93,0.295,0.211
5,Alex Hagan,A's,1,1,0,0,0,0,0,0,0,5,1,0,0,0,0,2,0,1,0,0,25,3,0,0.333,0,25,0,0,0,2,0,0,0,0,0.333,25,5,20,0,0,0,0,6.35,48,60,66.67,33.33,0,2,0,0,1,0,8,0.2,0.5,0,100,0,0,0,100,0.5,0
28,Alex Ogletree,Bombers,2.333,1,0,0,0,1,0,0,0,9,2,1,0,0,0,0,0,3,0,0,39,0.86,0,0.222,0,39,0,0,2,3,0,0,0,0,0.222,16.7,4.333,0,2,1,1,1,0.59,71.79,77.78,71.43,0,28.57,0,2,0,0,0,15.38,0.333,0,83.33,16.67,0.5,16.67,50,33.33,0.333,0.333
19,Alexander Johnson,Green Dragons,5,5,1,0,0,1,2,2,3,23,3,5,0,0,0,4,0,5,0,0,78,1.4,2,0.158,0,25,1,50,0,0,0,0,0,0,0.286,12.5,3.125,62.5,2,1,1,2,2.465,60,50,75,0,25,0.5,1,0,0,0,12,0.25,2,60,40,2,20,20,60,0.4,0.5
19,Andres Pasillas,Coyotes,22,5,4,0,0,2,0,0,0,49,19,12,11,0,2,14,0,28,0,0,189,1.5,2,0.576,4.5,189,0,0,3,11,0,1,3,75,0.184,17.2,3.857,38.78,7,6,2,2,3.575,57.67,51.02,76,4,16,0.818,3,2,3,2,12.7,0.245,1.333,76.92,23.08,1,15.38,38.46,46.15,0.269,0.231
14,Andrew Cheripka,NorthStars,21.333,10,2,1,0,2,0,0,0,66,16,8,6,0,2,17,0,18,0,0,264,1.56,2,0.34,2.55,222,0,0,7,13,0,2,2,50,0.25,16.2,3.828,43.1,5,2,1,4,3.313,58.11,56.9,57.58,9.09,27.27,0.585,7,2,2,1,11.26,0.207,1.5,80.56,19.44,0.615,5.56,44.44,50,0.333,0.133
