Number,Last,First,IP,GP,GS,BF,#P,W,L,SV,SVO,BS,SV%,H,R,ER,BB,SO,K-L,HBP,ERA,WHIP,LOB,BK,PIK,CS,SB,SB%,WP,BAA,P/IP,P/BF,<3%,LOO,1ST2OUT,123INN,<13,FIP,S%,FPS%,FPSO%,FPSW%,FPSH%,BB/INN,0BBINN,BBS,LOBB,LOBBS,SM%,K/BF,K/BB,WEAK%,HHB%,GO/AO,HR,LD%,FB%,GB%,BABIP,BA/RISP
2,Weston,Alexander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Kula,Frank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Sanders,Marcus,3.2,1,0,20,88,0,0,0,0,0,0,3,2,0,2,3,2,2,0,1.364,7,0,0,0,1,100,4,0.188,24,4.4,15,2,0,0,0,4.365,63.64,70,71.43,14.29,7.14,0.545,1,0,1,0,6.82,0.15,1.5,84.62,15.38,1.333,0,7.69,15.38,75,0.231,0.1
4,Watson,Jordan,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Hagan,Alex,1,1,0,5,25,0,0,0,0,0,0,1,0,0,2,1,0,0,0,3,2,0,0,0,0,0,0,0.333,25,5,20,0,0,0,0,6.35,48,60,66.67,33.33,0,2,0,0,1,0,8,0.2,0.5,0,100,0,0,0,0,100,0.5,0
6,Moser,Adam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Fickett,Korbin,3,1,0,13,38,0,0,0,0,0,0,1,2,0,0,6,4,1,0,0.333,2,0,0,0,2,100,0,0.083,12.7,2.923,53.85,3,2,2,2,0.003,84.21,84.62,90.91,0,9.09,0,3,0,0,0,23.68,0.462,0,66.67,33.33,0.5,0,33.33,16.67,50,0.167,0.25
8,Sanchez,Kevin,9,4,4,57,217,0,3,0,0,0,0,15,19,13,9,9,0,5,10.11,2.667,9,0,0,0,2,100,3,0.349,24.1,3.807,38.6,7,3,1,2,5.199,54.84,49.12,60.71,14.29,21.43,1,4,5,2,2,13.82,0.158,1,76.47,23.53,1.125,0,5.88,38.24,55.88,0.441,0.55
9,Winget,Braden,2,2,0,11,42,0,0,0,0,0,0,1,1,0,2,3,1,0,0,1.5,4,0,0,0,2,100,0,0.111,21,3.818,45.45,1,0,0,0,2.745,59.52,63.64,71.43,14.29,14.29,1,0,1,1,1,11.9,0.273,1.5,100,0,2,0,0,33.33,66.67,0.167,0
10,Castro,Jesus,2,1,0,13,51,0,0,0,0,0,0,3,4,3,3,2,1,1,10.5,3,3,0,0,0,0,0,3,0.375,25.5,3.923,38.46,0,0,0,0,6.35,52.94,69.23,55.56,11.11,22.22,1.5,0,2,2,2,11.76,0.154,0.667,57.14,42.86,0,0,28.57,42.86,28.57,0.429,0.333
11,Winget,Preston,3,2,0,15,56,0,0,1,1,0,100,3,2,2,2,3,1,1,4.667,1.667,4,0,0,0,1,100,3,0.273,18.7,3.733,40,2,1,0,1,3.76,60.71,66.67,50,20,20,0.667,1,1,1,0,10.71,0.2,1.5,88.89,11.11,1,0,11.11,44.44,44.44,0.333,0.2
12,Higgs,Kaleb,1,1,0,6,20,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,20,3.333,50,0,0,0,0,8.38,55,83.33,80,20,0,1,0,1,1,1,5,0,0,75,25,2,0,25,25,50,0,0
14,Cook,Joseph,17.1,5,4,93,340,3,1,0,0,0,0,17,19,14,12,18,5,7,5.654,1.673,19,0,0,1,7,87.5,5,0.236,19.6,3.656,45.16,9,2,2,5,3.931,58.24,55.91,59.62,9.62,23.08,0.692,10,7,3,3,8.82,0.194,1.5,83.93,16.07,0.476,0,10.71,44.64,44.64,0.304,0.175
15,McCauley,Sam,15.1,4,2,63,283,3,0,0,0,0,0,5,0,0,10,28,7,1,0,0.978,14,0,1,0,2,100,5,0.096,18.5,4.492,22.22,13,8,5,5,1.351,59.72,58.73,75.68,8.11,8.11,0.652,8,0,1,0,18.73,0.444,2.8,76,24,0.889,0,20,28,50,0.208,0
17,McCracken,Ian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Wohler,Phillip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Scholtz,Larson,1.2,3,1,12,57,0,1,1,1,0,100,1,5,5,7,1,1,0,21,4.8,4,0,0,1,2,66.67,1,0.2,34.2,4.75,16.67,0,0,0,1,12.86,40.35,33.33,25,50,25,4.2,1,5,1,0,3.51,0.083,0.143,50,50,0,0,25,0,75,0.25,0
22,Rivera,Cipriano,8,5,0,34,132,1,0,0,0,0,0,7,2,2,7,11,6,0,1.75,1.75,6,0,0,1,2,66.67,1,0.259,16.5,3.882,38.24,4,4,3,5,2.675,56.82,44.12,73.33,0,26.67,0.875,5,0,0,0,13.64,0.324,1.571,62.5,37.5,0.6,0,18.75,37.5,43.75,0.438,0.125
23,Hiner,Jake,1.1,1,0,8,34,0,0,0,0,0,0,2,1,1,3,2,0,0,5.25,3.75,2,1,0,0,3,100,1,0.4,25.5,4.25,37.5,0,0,0,0,5.982,44.12,50,75,25,0,2.25,0,1,0,0,14.71,0.25,0.667,66.67,33.33,0,0,33.33,66.67,0,0.667,0
24,Montgomery,Callum,15.2,3,3,68,259,2,0,0,0,0,0,14,8,7,5,10,1,1,3.128,1.213,11,0,0,1,1,50,0,0.226,16.5,3.809,42.65,12,10,6,5,2.896,61.78,55.88,76.32,5.26,18.42,0.319,11,3,0,0,11.2,0.147,2,71.15,28.85,0.417,0,19.23,44.23,35.29,0.269,0.3
25,Potts,Ty,1,1,0,6,33,0,0,0,0,0,0,1,0,0,2,0,0,0,0,3,3,0,0,0,1,100,0,0.25,33,5.5,0,0,0,0,0,8.38,57.58,66.67,50,25,25,2,0,0,0,0,3.03,0,0,75,25,0,0,25,50,25,0.25,0
26,Downham,Jed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Sanchez,William,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Amavizca,Richie,1,1,0,8,29,0,0,0,0,0,0,1,2,2,2,1,0,2,14,3,3,0,0,0,0,0,0,0.25,29,3.625,37.5,0,0,0,0,11.53,44.83,50,50,50,0,2,0,1,0,0,10.34,0.125,0.5,33.33,66.67,0,0,0,0,100,0.333,0
34,Farwell,Ty,2,1,0,11,45,0,0,0,0,0,0,0,1,1,4,2,1,1,3.5,2,4,0,0,0,0,0,0,0,22.5,4.091,36.36,2,1,0,0,7.645,44.44,54.55,66.67,33.33,0,2,0,1,0,0,13.33,0.182,0.5,100,0,0.333,0,0,75,25,0,0
35,Groves,Mike,1.1,1,0,5,26,0,0,0,0,0,0,1,0,0,0,3,2,0,0,0.75,3,0,0,0,2,100,0,0.2,19.5,5.2,20,0,0,0,0,-1.367,65.38,60,100,0,0,0,1,0,0,0,7.69,0.6,0,0,100,0,0,100,0,0,0.5,0
