,No,Name,Team,G,PA_x,AB_x,R_x,H_x,1B_x,2B_x,3B_x,HR_x,RBI_x,HBP_x,BB_x,SO_x,SacB,SacF,SB_x,CS_x,AVG_x,OBP_x,SLG_x,OPS_x,Number,GP,K-L,SAC,SF,ROE,FC,SB%,PIK,QAB,QAB%,PA/BB,BB/K,C%,HHB,LD%,FB%,GB%,BABIP,BA/RISP,LOB,2OUTRBI,XBH,TB,PS,PS/PA,2S+3,2S+3%,6+,6+%,AB/HR,GIDP,GITP,CI
0,20,Abel Martinez,Chill,9,19,15,2,1,1,0,0,0,1,0,3,7,0,1,0,0,0.067,0.211,0.067,0.277,20,6,1,0,0,0,0,0.0,0,3,23.08,6.5,0.5,63.64,1,14.29,42.86,42.86,0.143,0.333,7,0,0,1,53,4.077,1,7.69,2,15.38,0.0,0,0,0
1,17,Abraham Hernandez,LumberJacks,14,32,24,3,4,4,0,0,0,2,1,6,3,0,1,0,0,0.167,0.344,0.167,0.51,17,11,1,0,1,2,0,0.0,0,10,38.46,6.5,2.0,90.0,4,10.53,57.89,31.58,0.158,0.1,14,0,0,3,93,3.577,3,11.54,4,15.38,0.0,0,0,0
2,6,Adam Moser,A's,16,35,26,10,5,2,1,1,1,7,2,7,2,0,0,6,2,0.192,0.4,0.423,0.823,6,12,0,0,0,2,1,71.43,0,12,54.55,5.5,4.0,93.75,5,13.33,33.33,53.33,0.286,0.375,13,0,2,9,85,3.864,2,9.09,5,22.73,16.0,0,0,0
3,1,Aidan Arriaga,Blue Sox,16,40,31,6,9,9,0,0,0,6,0,9,2,0,0,2,1,0.29,0.45,0.29,0.74,1,12,1,0,0,0,0,0.0,1,13,44.83,4.8,6.0,95.65,5,13.64,31.82,54.55,0.318,0.333,10,0,0,7,99,3.414,2,6.9,3,10.34,0.0,0,0,0
4,35,Aidan Kelly,Blue Sox,13,31,27,9,7,6,1,0,0,1,2,2,7,0,0,0,0,0.259,0.355,0.296,0.651,35,8,1,0,0,0,1,0.0,0,8,42.11,19.0,0.2,70.59,3,8.33,41.67,50.0,0.333,0.0,10,0,0,4,65,3.421,4,21.05,2,10.53,0.0,0,0,0
5,6,Aidan Salazar,Bootleggers,10,23,22,4,7,6,1,0,0,2,0,1,11,0,0,0,0,0.318,0.348,0.364,0.711,6,7,2,0,0,0,0,0.0,0,5,31.25,0.0,0.0,50.0,3,37.5,50.0,12.5,0.625,0.25,7,0,0,5,52,3.25,2,12.5,1,6.25,0.0,0,0,0
6,6,Aiden Morton,Blue Sox,18,47,31,10,8,6,2,0,0,4,7,8,8,0,1,3,0,0.258,0.489,0.323,0.812,6,14,2,0,1,2,1,100.0,0,18,58.06,6.2,0.714,65.0,4,28.57,57.14,14.29,0.286,0.111,14,1,1,5,139,4.484,7,22.58,9,29.03,0.0,0,0,0
7,24,Alec Correa,Green Dragons,16,30,23,2,2,2,0,0,0,4,0,7,15,0,0,1,1,0.087,0.3,0.087,0.387,24,11,4,0,0,0,1,100.0,0,12,54.55,7.3,0.273,42.11,1,12.5,75.0,12.5,0.25,0.167,17,1,0,2,108,4.909,6,27.27,10,45.45,0.0,0,0,0
8,4,Alex Glasscock,NorthStars,16,44,35,7,6,3,3,0,0,6,1,6,14,0,2,1,1,0.171,0.295,0.257,0.553,4,8,1,0,0,1,0,0.0,1,8,44.44,3.6,0.833,53.85,1,14.29,28.57,57.14,0.286,0.0,7,0,1,3,82,4.556,4,22.22,6,33.33,0.0,0,0,0
9,14,Alex Chacon,Bootleggers,15,40,32,10,9,6,3,0,0,7,4,4,6,0,0,0,0,0.281,0.425,0.375,0.8,14,11,1,0,0,1,1,0.0,0,18,64.29,7.0,1.333,86.36,6,26.32,47.37,26.32,0.421,0.5,6,2,3,11,118,4.214,5,17.86,9,32.14,0.0,0,0,0
