,No,Name,Team,G,GS_x,CG,SHO,W_x,L_x,SV_x,SVO_x,INN,BF_x,H_x,R_x,ER_x,HR_x,HBP_x,BB_x,IBB,SO_x,SacF,BK_x,PC,WHIP_x,WP_x,OBA,ERA_x,Number,IP,GP,#P,BS,SV%,K-L,LOB,PIK,CS,SB,SB%,BAA,P/IP,P/BF,<3%,LOO,1ST2OUT,123INN,<13,FIP,S%,FPS%,FPSO%,FPSW%,FPSH%,BB/INN,0BBINN,BBS,LOBB,LOBBS,SM%,K/BF,K/BB,WEAK%,HHB%,GO/AO,LD%,FB%,GB%,BABIP,BA/RISP
0,20,Abel Martinez,Chill,5,0,0,0,0,0,0,0,7.2,19,13,11,10,0,0,5,0,4,1,0,53,2.35,0.0,1.0,11.74,20,4.0,3,78,0,0,0,6,0,0,3,100.0,0.417,19.5,3.0,65.38,2,0,0,1,3.48,66.67,61.54,56.25,6.25,37.5,0.5,2,2,1,1,15.38,0.077,1.0,68.18,31.82,0.667,31.82,40.91,27.27,0.455,0.4
1,1,Aidan Arriaga,Blue Sox,1,0,0,0,0,0,0,0,1.0,5,1,1,1,0,0,1,0,1,0,0,24,2.0,0.0,0.25,9.0,1,1.0,1,24,0,0,1,1,0,0,3,100.0,0.25,24.0,4.8,20.0,0,0,0,0,3.76,45.83,40.0,50.0,50.0,0.0,1.0,0,0,0,0,4.17,0.2,1.0,100.0,0.0,0.0,0.0,66.67,33.33,0.333,0.0
2,6,Aidan Salazar,Bootleggers,4,0,0,0,1,1,0,0,6.1,29,11,7,2,0,1,3,0,4,0,0,92,2.26,2.0,0.44,2.9,6,4.2,3,92,0,0,1,6,0,1,2,66.67,0.375,19.7,3.172,51.72,2,0,0,1,4.115,58.7,68.97,50.0,10.0,35.0,0.643,3,1,0,0,8.7,0.103,1.0,72.73,27.27,0.8,18.18,31.82,47.62,0.429,0.308
3,24,Alec Correa,Green Dragons,1,0,0,0,0,0,0,0,0.1,2,0,0,0,0,0,1,0,0,0,0,11,3.0,0.0,0.0,0.0,24,0.1,1,11,0,0,0,0,0,0,0,0.0,0.0,33.0,5.5,0.0,0,0,0,0,10.97,36.36,50.0,0.0,100.0,0.0,3.0,0,0,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
4,14,Alejandro Espinoza,Bombers,8,5,0,0,3,2,0,0,32.2,91,29,19,13,0,5,17,0,28,0,1,345,1.41,5.0,0.42,3.58,14,22.0,5,360,0,0,5,20,0,3,6,66.67,0.222,16.4,3.711,42.27,17,11,5,7,3.238,58.33,58.76,61.4,12.28,19.3,0.545,12,2,1,1,13.33,0.206,1.667,73.77,26.23,2.0,18.03,18.03,63.93,0.295,0.211
5,5,Alex Hagan,A's,1,0,0,0,0,0,0,0,1.0,5,1,0,0,0,0,2,0,1,0,0,25,3.0,0.0,0.333,0.0,5,1.0,1,25,0,0,0,2,0,0,0,0.0,0.333,25.0,5.0,20.0,0,0,0,0,6.35,48.0,60.0,66.67,33.33,0.0,2.0,0,0,1,0,8.0,0.2,0.5,0.0,100.0,0.0,0.0,0.0,100.0,0.5,0.0
6,28,Alex Ogletree,Bombers,1,0,0,0,1,0,0,0,2.1,9,2,1,0,0,0,0,0,3,0,0,39,0.86,0.0,0.222,0.0,28,2.1,1,39,0,0,2,3,0,0,0,0.0,0.222,16.7,4.333,0.0,2,1,1,1,0.59,71.79,77.78,71.43,0.0,28.57,0.0,2,0,0,0,15.38,0.333,0.0,83.33,16.67,0.5,16.67,50.0,33.33,0.333,0.333
7,19,Alexander Johnson,Green Dragons,5,1,0,0,1,2,2,3,5.0,23,3,5,0,0,0,4,0,5,0,0,78,1.4,2.0,0.158,0.0,19,2.0,3,25,1,50,0,0,0,0,0,0.0,0.286,12.5,3.125,62.5,2,1,1,2,2.465,60.0,50.0,75.0,0.0,25.0,0.5,1,0,0,0,12.0,0.25,2.0,60.0,40.0,2.0,20.0,20.0,60.0,0.4,0.5
8,19,Andres Pasillas,Coyotes,5,4,0,0,2,0,0,0,22.0,49,19,12,11,0,2,14,0,28,0,0,189,1.5,2.0,0.576,4.5,19,11.0,2,189,0,0,3,11,0,1,3,75.0,0.184,17.2,3.857,38.78,7,6,2,2,3.575,57.67,51.02,76.0,4.0,16.0,0.818,3,2,3,2,12.7,0.245,1.333,76.92,23.08,1.0,15.38,38.46,46.15,0.269,0.231
9,14,Andrew Cheripka,NorthStars,10,2,1,0,2,0,0,0,21.1,66,16,8,6,0,2,17,0,18,0,0,264,1.56,2.0,0.34,2.55,14,13.2,5,222,0,0,7,13,0,2,2,50.0,0.25,16.2,3.828,43.1,5,2,1,4,3.313,58.11,56.9,57.58,9.09,27.27,0.585,7,2,2,1,11.26,0.207,1.5,80.56,19.44,0.615,5.56,44.44,50.0,0.333,0.133
10,31,Anthony Sillas,Coyotes,1,1,0,0,1,0,0,0,5.0,19,2,2,2,0,0,2,0,4,0,0,82,0.8,0.0,0.118,3.6,31,11.0,3,183,0,0,4,8,0,0,4,100.0,0.105,16.6,4.256,34.88,10,7,6,3,1.794,60.66,48.84,85.71,0.0,9.52,0.364,9,2,1,1,18.58,0.326,3.5,62.5,37.5,0.583,16.67,45.83,37.5,0.167,0.0
11,28,Augie Cowan,Rush,8,0,0,0,0,0,0,0,11.1,39,10,8,6,0,1,5,0,7,0,0,155,1.32,1.0,0.303,4.76,28,8.1,6,166,0,0,0,8,0,0,7,100.0,0.257,19.9,4.049,29.27,5,4,1,1,3.712,57.83,51.22,80.95,0.0,19.05,0.36,6,2,0,0,9.64,0.073,1.0,76.47,23.53,0.667,8.82,38.24,52.94,0.265,0.333
12,1,Binyam Gebhardt,LumberJacks,5,2,0,0,2,1,0,0,11.2,43,11,6,3,0,1,6,0,12,0,0,168,1.47,0.0,0.306,2.34,1,9.1,4,168,0,0,3,9,0,2,2,50.0,0.314,18.0,3.907,32.56,5,3,0,2,2.75,57.74,60.47,65.38,7.69,23.08,0.643,5,2,2,1,13.1,0.256,1.833,68.0,32.0,1.167,20.0,32.0,48.0,0.44,0.286
13,8,Blake Nelson,Rush,1,1,0,0,0,1,0,0,2.0,14,2,4,3,1,4,1,0,1,0,0,53,1.5,2.0,0.222,13.5,8,2.0,1,53,0,0,0,3,0,1,1,50.0,0.222,26.5,3.786,35.71,1,0,0,0,13.7,43.4,35.71,80.0,0.0,20.0,0.5,1,1,0,0,5.66,0.071,1.0,75.0,25.0,0.333,12.5,50.0,37.5,0.143,0.25
14,17,Bowen Sanford,Green Dragons,1,0,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0,0.0,17,0.2,1,7,0,0,0,2,0,0,0,0.0,0.0,10.5,3.5,50.0,0,0,0,0,3.2,71.43,50.0,100.0,0.0,0.0,0.0,0,0,0,0,14.29,0.0,0.0,50.0,50.0,0.0,50.0,50.0,0.0,0.0,0.0
15,24,Braden Turner,LumberJacks,5,4,0,0,5,0,0,0,25.0,99,24,8,7,0,1,2,0,29,0,0,336,1.04,0.0,0.25,2.52,24,20.0,4,268,0,0,10,13,1,1,2,66.67,0.25,13.4,3.392,51.9,14,12,7,13,1.051,72.39,70.89,75.0,1.79,23.21,0.1,19,1,0,0,18.28,0.316,12.5,68.63,31.37,1.333,23.53,19.61,56.0,0.373,0.333
16,9,Braden Winget,A's,2,0,0,0,0,0,0,0,2.0,11,1,1,0,0,0,2,0,3,0,0,42,1.5,0.0,0.111,0.0,9,2.0,2,42,0,0,1,4,0,0,2,100.0,0.111,21.0,3.818,45.45,1,0,0,0,2.745,59.52,63.64,71.43,14.29,14.29,1.0,0,1,1,1,11.9,0.273,1.5,100.0,0.0,2.0,0.0,33.33,66.67,0.167,0.0
17,14,Bradley Morris,Green Dragons,2,0,0,0,0,0,0,0,2.0,9,5,3,3,0,0,0,0,0,0,0,32,2.5,0.0,0.556,13.5,14,2.0,2,32,0,0,0,3,0,0,0,0.0,0.556,16.0,3.556,44.44,0,0,0,0,3.2,75.0,77.78,42.86,0.0,57.14,0.0,0,0,0,0,0.0,0.0,0.0,88.89,11.11,3.0,11.11,22.22,66.67,0.556,0.5
18,25,Brian O'Connell III,Green Dragons,2,0,0,0,0,0,0,0,1.1,8,3,0,0,0,0,0,0,3,0,0,13,2.5,0.0,0.375,0.0,25,0.2,1,13,0,0,0,2,0,0,0,0.0,0.667,19.5,3.25,50.0,0,0,0,0,0.155,76.92,75.0,66.67,0.0,33.33,0.0,1,0,0,0,23.08,0.25,0.0,66.67,33.33,0.0,33.33,66.67,0.0,0.667,0.5
19,9,Caden Stillwell,LumberJacks,8,2,0,0,2,0,1,1,28.1,123,22,12,9,0,6,12,0,24,0,0,450,1.21,5.0,0.21,2.87,9,27.2,7,429,0,100,7,25,1,3,10,76.92,0.212,15.5,3.605,46.22,20,9,6,11,3.271,58.28,66.39,70.89,7.59,17.72,0.434,16,1,3,0,8.86,0.185,1.833,77.22,22.78,0.417,18.99,45.57,35.44,0.266,0.214
20,24,Callum Montgomery,A's,5,4,0,0,3,0,0,0,24.2,68,22,13,7,0,2,8,0,14,0,0,259,1.21,0.0,0.379,2.53,24,15.2,3,259,0,0,1,11,0,1,1,50.0,0.226,16.5,3.809,42.65,12,10,6,5,2.896,61.78,55.88,76.32,5.26,18.42,0.319,11,3,0,0,11.2,0.147,2.0,71.15,28.85,0.417,19.23,44.23,35.29,0.269,0.3
